IP,Log_Line
127.0.0.1,2025-06-20T03:08:36.411700-04:00 kali sshd-session[3973]: Failed password for root from 127.0.0.1 port 58520 ssh2
127.0.0.1,2025-06-20T03:08:37.171950-04:00 kali sshd-session[3988]: Failed password for root from 127.0.0.1 port 58614 ssh2
127.0.0.1,2025-06-20T03:08:37.231849-04:00 kali sshd-session[3970]: Failed password for root from 127.0.0.1 port 58546 ssh2
127.0.0.1,2025-06-20T03:08:37.473389-04:00 kali sshd-session[3966]: Failed password for root from 127.0.0.1 port 58536 ssh2
127.0.0.1,2025-06-20T03:08:37.507794-04:00 kali sshd-session[3994]: Failed password for root from 127.0.0.1 port 58676 ssh2
127.0.0.1,2025-06-20T03:08:37.594834-04:00 kali sshd-session[3993]: Failed password for root from 127.0.0.1 port 58662 ssh2
127.0.0.1,2025-06-20T03:08:37.749538-04:00 kali sshd-session[3981]: Failed password for root from 127.0.0.1 port 58604 ssh2
127.0.0.1,2025-06-20T03:08:37.867485-04:00 kali sshd-session[3985]: Failed password for root from 127.0.0.1 port 58626 ssh2
127.0.0.1,2025-06-20T03:08:37.908590-04:00 kali sshd-session[3982]: Failed password for root from 127.0.0.1 port 58618 ssh2
127.0.0.1,2025-06-20T03:08:37.930793-04:00 kali sshd-session[3972]: Failed password for root from 127.0.0.1 port 58540 ssh2
127.0.0.1,2025-06-20T03:08:37.994856-04:00 kali sshd-session[3986]: Failed password for root from 127.0.0.1 port 58648 ssh2
127.0.0.1,2025-06-20T03:08:38.008064-04:00 kali sshd-session[3979]: Failed password for root from 127.0.0.1 port 58588 ssh2
127.0.0.1,2025-06-20T03:08:38.276238-04:00 kali sshd-session[3973]: Failed password for root from 127.0.0.1 port 58520 ssh2
127.0.0.1,2025-06-20T03:08:38.366795-04:00 kali sshd-session[3974]: Failed password for root from 127.0.0.1 port 58550 ssh2
127.0.0.1,2025-06-20T03:08:38.455838-04:00 kali sshd-session[3977]: Failed password for root from 127.0.0.1 port 58574 ssh2
127.0.0.1,2025-06-20T03:08:39.465131-04:00 kali sshd-session[3966]: Failed password for root from 127.0.0.1 port 58536 ssh2
127.0.0.1,2025-06-20T03:08:39.608581-04:00 kali sshd-session[3982]: Failed password for root from 127.0.0.1 port 58618 ssh2
127.0.0.1,2025-06-20T03:08:39.648968-04:00 kali sshd-session[3970]: Failed password for root from 127.0.0.1 port 58546 ssh2
127.0.0.1,2025-06-20T03:08:39.990771-04:00 kali sshd-session[3985]: Failed password for root from 127.0.0.1 port 58626 ssh2
127.0.0.1,2025-06-20T03:08:40.405643-04:00 kali sshd-session[3974]: Failed password for root from 127.0.0.1 port 58550 ssh2
127.0.0.1,2025-06-20T03:08:40.439505-04:00 kali sshd-session[3988]: Failed password for root from 127.0.0.1 port 58614 ssh2
127.0.0.1,2025-06-20T03:08:40.454759-04:00 kali sshd-session[3973]: Failed password for root from 127.0.0.1 port 58520 ssh2
127.0.0.1,2025-06-20T03:08:40.576100-04:00 kali sshd-session[3981]: Failed password for root from 127.0.0.1 port 58604 ssh2
127.0.0.1,2025-06-20T03:08:40.920962-04:00 kali sshd-session[3993]: Failed password for root from 127.0.0.1 port 58662 ssh2
127.0.0.1,2025-06-20T03:08:41.046556-04:00 kali sshd-session[3994]: Failed password for root from 127.0.0.1 port 58676 ssh2
127.0.0.1,2025-06-20T03:08:41.433157-04:00 kali sshd-session[3966]: Failed password for root from 127.0.0.1 port 58536 ssh2
127.0.0.1,2025-06-20T03:08:41.784458-04:00 kali sshd-session[3976]: Failed password for root from 127.0.0.1 port 58560 ssh2
127.0.0.1,2025-06-20T03:08:41.825988-04:00 kali sshd-session[3972]: Failed password for root from 127.0.0.1 port 58540 ssh2
127.0.0.1,2025-06-20T03:08:42.180639-04:00 kali sshd-session[3985]: Failed password for root from 127.0.0.1 port 58626 ssh2
